name,count,university press,url
Tufts University,9,No,
Ford Motor Company (United States),9,No,
University of Melbourne,9,Yes,https://www.mup.com.au/
Rensselaer Polytechnic Institute,9,No,
University of Pittsburgh,9,Yes,https://upittpress.org
University of Southern Denmark,9,Yes,https://universitypress.dk/
Illinois Institute of Technology,9,No,
Princeton University,9,Yes,https://press.princeton.edu
Dalian University of Technology,9,Yes,http://www.dutp.cn/
"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement",9,Yes,https://www.quae.com/
Centre for Sustainable Energy,9,No,
Institut de Chimie,9,No,
Technical University of Munich,9,Yes,https://www.tum.de/en/university-press
Kobe University,9,No,
RWTH Aachen University,9,No,
University of Hong Kong,9,Yes,https://hkupress.hku.hk/
University of Sheffield,9,Yes,https://universitypress.whiterose.ac.uk/
Wageningen University & Research,9,Yes,https://www.wageningenacademic.com/
University of Technology Sydney,8,Yes,https://epress.lib.uts.edu.au/
Tongji University,8,Yes,https://www.tongjipress.com.cn/
Statistics Sweden,8,No,
University of Vienna,8,Yes,https://www.vrup.de/
Institute for Interdisciplinary Studies of Austrian Universities,8,No,
University of Illinois Urbana-Champaign,8,Yes,https://www.press.uillinois.edu
Tel Aviv University,8,Yes,https://www.tau.ac.il/press
City University of Hong Kong,8,Yes,https://www.cityu.edu.hk/upress/
Institut des Sciences Moléculaires,8,No,
Luxembourg Institute of Science and Technology,8,No,
University of Bath,8,No,
National Institute of Advanced Industrial Science and Technology,8,No,
Cardiff University,8,Yes,https://cardiffuniversitypress.org/
Rockefeller University,8,Yes,https://rupress.org/
University of Amsterdam,8,Yes,https://www.aup.nl/en
Roskilde University,7,Yes,https://ruforlag.dk/
United States Geological Survey,7,No,
United States Department of the Interior,7,No,
University of Wisconsin-Madison,7,Yes,https://uwpress.wisc.edu
Kyushu University,7,Yes,https://www.kup.or.jp/
North Carolina State University,7,Yes,https://uncpress.org/
University of Nottingham,7,No,
National University of Singapore,7,Yes,https://nuspress.nus.edu.sg/
Forschungszentrum Jülich,7,No,
ParisTech,7,Yes,https://www.pressesdesmines.com/
